X,Y,SP_ID,CVEGEO,Den2012,Den2013,Den2014,Den2015
230780.119696559,2325398.2660748,"167","3105000012555",10,5,3,14
230435.222668235,2326528.93057525,"168","3105000012574",0,2,1,0
230349.695481206,2326015.42902422,"169","3105000012589",9,4,2,3
223517.01559435,2323458.87232405,"170","3105000012593",43,4,9,16
224306.310433342,2323427.36102005,"171","3105000012606",24,5,4,16
222071.488607705,2323550.81532502,"172","3105000012610",8,10,5,8
222741.462665749,2322722.09747475,"173","3105000012625",65,18,11,9
223729.97568377,2321076.43612486,"174",310500001263A,56,24,12,84
224500.580448919,2321239.98227413,"175","3105000012644",27,11,8,30
222546.314099952,2321145.02027449,"176","3105000012663",18,11,5,5
222912.180137473,2320925.58967512,"177","3105000012678",38,22,9,20
223415.496425532,2320835.61186841,"178","3105000012682",29,8,5,21
222484.777410325,2324110.21172503,"179","3105000012697",16,7,1,4
222843.435501222,2323800.0773253,"180",310500001270A,40,6,1,10
225054.879850559,2323641.45817474,"181","3105000012714",22,15,5,12
225537.758626185,2323556.86502444,"182","3105000012729",9,6,2,15
224384.362568831,2322859.6304248,"183","3105000012733",40,7,1,24
224917.56796131,2322533.46632471,"184","3105000012748",30,11,4,13
233579.684931576,2321543.92837509,"185","3105000012752",36,12,2,18
234045.897797125,2321351.81673599,"186","3105000012767",9,4,5,14
231711.395849452,2319018.78452483,"187","3105000012771",39,26,9,15
231755.536270685,2319575.9010248,"188","3105000012786",33,12,10,10
231924.292919521,2323281.69452461,"189","3105000012803",19,6,1,11
232187.252247632,2321931.6070749,"190","3105000012818",31,7,1,22
232935.776113224,2321988.62672494,"191","3105000012822",18,9,7,19
231218.147638285,2322105.39537491,"192","3105000012837",11,0,0,18
231474.772305362,2321921.41357496,"193","3105000012841",16,5,7,21
231442.847502219,2321628.60262498,"194","3105000012856",16,5,1,8
229682.06117659,2319490.00547445,"195","3105000012860",26,12,8,13
230230.430817318,2319275.5313748,"196","3105000012875",30,11,4,14
230685.104686843,2319020.85127489,"197",310500001288A,16,19,9,15
231197.207117247,2319483.52077489,"198","3105000012894",42,13,14,14
231168.734334772,2318728.98292489,"199","3105000012907",62,33,18,21
231017.433379883,2321216.71745534,"200","3105000012911",23,11,3,21
231003.361704048,2320719.45096,"201","3105000012926",23,11,9,17
230146.055189208,2321918.99287438,"202","3105000012930",19,11,7,45
230714.855668052,2321785.83394789,"203","3105000012945",22,8,7,35
232451.219459225,2321407.82517467,"204",310500001295A,53,13,9,43
233143.851502692,2321261.67987495,"205","3105000012964",23,6,4,29
232575.386728084,2320322.18501428,"206","3105000012979",43,8,5,13
233274.946427203,2320420.11236591,"207","3105000012983",33,13,4,13
229784.107251959,2318669.07027448,"208","3105000012998",20,16,3,7
230165.455314571,2318336.66197464,"209","3105000013002",22,11,11,6
231562.242664903,2323330.31894936,"210","3105000013017",22,5,6,19
231057.834056668,2322542.55032457,"211","3105000013021",10,9,3,4
231276.680644536,2323497.6557741,"212","3105000013036",6,4,1,7
230740.635517278,2322927.64692476,"213","3105000013040",9,7,6,23
223728.552583172,2318706.73882455,"214","3105000013055",13,10,3,40
224244.88839239,2319357.80442536,"215",310500001306A,30,21,11,48
227638.921520983,2314229.11624391,"216","3105000013074",17,11,2,17
227354.800079001,2313303.33327384,"217","3105000013089",17,7,3,15
227899.261270734,2316627.94887474,"218","3105000013093",24,19,9,11
228429.261521715,2316625.12467526,"219","3105000013106",16,8,11,11
224242.719095891,2316288.22753335,"220","3105000013110",24,12,5,46
224789.528518105,2316202.68737444,"221","3105000013125",36,10,6,28
227088.275556799,2316555.73062458,"222",310500001313A,26,10,7,36
227459.58679861,2316437.23262474,"223","3105000013144",31,8,9,39
227822.389437966,2317191.76047482,"224","3105000013159",41,11,9,42
228359.233893611,2317040.7512749,"225","3105000013163",21,18,1,13
229226.846203934,2318038.56797446,"226","3105000013178",15,5,9,5
229567.414727213,2318213.31967289,"227","3105000013182",16,8,11,6
229536.763434484,2317883.5286755,"228","3105000013197",10,4,1,3
229625.040930255,2317018.44657523,"229",310500001320A,5,3,0,5
230013.79541403,2316739.62582558,"230","3105000013214",6,9,4,2
232735.473563463,2319556.51092417,"231","3105000013233",31,12,5,8
233347.291921875,2319790.5749192,"232","3105000013248",15,11,6,8
225000.213603381,2318868.62372408,"233","3105000013267",65,26,15,79
224771.390691303,2318150.981275,"234","3105000013271",51,20,7,43
225468.144251067,2316295.07372524,"235","3105000013286",35,15,8,24
225325.293378492,2315817.06747467,"236","3105000013290",24,12,6,27
232353.525017037,2323135.0409249,"237","3105000013303",58,21,6,34
224280.80441281,2326114.18377454,"238","3105000013341",8,10,7,5
223821.275782834,2326510.49232392,"239","3105000013356",10,11,3,18
225527.764124125,2327404.30337477,"240","3105000013360",13,8,2,12
225454.420592382,2326050.72982464,"241",310500001338A,23,12,6,20
223295.500887176,2325257.84432532,"242","3105000013394",34,3,4,9
222750.37314163,2324714.43047492,"243","3105000013407",16,7,4,10
223298.604427851,2324659.02772441,"244","3105000013411",24,7,3,2
224587.291775866,2325015.91617515,"245","3105000013426",17,9,2,8
224219.458462006,2324583.86002427,"246","3105000013430",16,5,3,5
230482.979346626,2328630.50757388,"247","3105000013445",6,3,1,3
232430.016651412,2327881.92736279,"248",310500001345A,3,1,0,2
222184.725053352,2314867.30295598,"249","3105000013483",9,11,0,27
223545.257535483,2313129.67149682,"250","3105000013500",18,3,2,12
